index,발행기관코드,발행기관명,표준코드,단축코드,채권분류,변경전발행기관코드,상장여부,활성여부,상장일,상장폐지일,한글종목명,영문종목명,채권유형,지방채구분,발행금액,발행일,발행통화,상환일,특이채권유형,보증담보,보증률(%),이자지급방법,발행방법,발행구분,크라우드펀딩여부,SRI채권 신청구분,표면이자율 확정여부,표면이자율(%),낙찰금리(%),발행가액(%),만기상환율(%),특이발행조건,옵션,선/후/중순위,상환방법,물가연동구분,참조지수(%),신종자본증권여부,조건부자본증권 유형,유동화,휴무관련(원금),이자지급기준,경과금리(%),휴무관련(이자),이자 선/후급,이자지급주기(개월),이자지급기준일구분,이자계산주기(개월),이자원단위 미만처리,이자월말구분,단수일이자기준,최초이자지급일,매출형태,선매출이자 지급방법,선/후매출일,기명구분,보장수익률(%),보장수익률적용일,추가수익률(%),추가수익률적용일,(전자)등록기관,원리금지급대행기관,대표주관회사,보증기관,신용평가기관1,신용등급,신용평가기관2,신용평가기관3,신용평가기관4,CFI,FISN,Call 주체,Call 사유,identifier1,identifier2,bookrunners,bkr_parts,comanagers,cmgr_parts
38,532,(주)국동,KR60053219C2,B0053219C,일반사채 (116100),nan,상장,활성,2019-12-24,nan,국동 9,KUKDONG CORPORATION 9,회사채,nan,"20,000,000,000",2019-12-24,원화,2024-12-24,일반채권 -분리형BW,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,2.0,nan,100,111.0095,"분리형BW, 만기보장수익률 연4%(3개월 복리), 현금 및 대용납입",Put(풋),선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-03-24,비매출,nan,nan,무기명,4.0,2024-12-24,nan,nan,한국예탁결제원,(주)신한은행,유진투자증권(주),nan,NICE신용평가, ,한국신용평가,nan,nan,DBFUCB,KUKDONG/2.0 Bd 20241224 Sr Ungtd,nan,nan,9,,[[]],[[]],[[]],[[]]
19,349,(주)대한항공,KR60034919B3,B0034919B,일반사채 (116100),nan,상장,활성,2019-11-06,nan,대한항공 90-1,KOREAN AIR LINES 90-1,회사채,nan,"90,000,000,000",2019-11-06,원화,2021-11-05,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,3.3,nan,100,100.0,마지막 이자지급 365 일할계산,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,365일,2020-02-06,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)하나은행,키움증권(주),nan,NICE신용평가, ,nan,한국기업평가,nan,DBFUFB,KAL/3.3 Bd 20211105 Sr Ungtd,nan,nan,90-1,1,"['KB증권', '키움증권', '삼성증권']","['17,000,000,000', '17,000,000,000', '16,000,000,000']","['NH투자증권', 'DB금융투자', '유안타증권', '교보증권']","['10,000,000,000', '10,000,000,000', '10,000,000,000', '10,000,000,000']"
20,349,(주)대한항공,KR60034929B2,B0034929B,일반사채 (116100),nan,상장,활성,2019-11-06,nan,대한항공 90-2,KOREAN AIR LINES 90-2,회사채,nan,"80,000,000,000",2019-11-06,원화,2022-11-04,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,3.7,nan,100,100.0,마지막 이자지급 365 일할계산,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,365일,2020-02-06,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)하나은행,키움증권(주),nan,NICE신용평가, ,nan,한국기업평가,nan,DBFUFB,KAL/3.7 Bd 20221104 Sr Ungtd,nan,nan,90-2,2,"['KB증권', '키움증권', '미래에셋대우', '삼성증권', 'SK증권']","['7,000,000,000', '7,000,000,000', '24,000,000,000', '8,000,000,000', '24,000,000,000']",['한국투자증권'],"['10,000,000,000']"
95,1957,(주)리더스 기술투자,KR60195729A3,B0195729A,일반사채 (116100),nan,상장,활성,2019-10-24,nan,리더스기술투자 9,Leaders Technology Investment 9,회사채,nan,"20,000,000,000",2019-10-24,원화,2024-10-24,일반채권 -분리형BW,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,3.0,nan,100,111.2814,"분리형BW,만기보장수익율 연5%(3개월복리),현금및사채대용납입",Put(풋),선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-01-24,비매출,nan,nan,무기명,5.0,2024-10-24,nan,nan,한국예탁결제원,(주)신한은행,아이비케이투자증권(주),nan,nan, ,한국신용평가,한국기업평가,nan,DBFUCB,Leaders/3.0 Bd 20241024 Sr Ungtd,nan,nan,9,,[[]],[[]],[[]],[[]]
38,532,(주)국동,KR60053219C2,B0053219C,일반사채 (116100),nan,상장,활성,2019-12-24,nan,국동 9,KUKDONG CORPORATION 9,회사채,nan,"20,000,000,000",2019-12-24,원화,2024-12-24,일반채권 -분리형BW,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,2.0,nan,100,111.0095,"분리형BW, 만기보장수익률 연4%(3개월 복리), 현금 및 대용납입",Put(풋),선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-03-24,비매출,nan,nan,무기명,4.0,2024-12-24,nan,nan,한국예탁결제원,(주)신한은행,유진투자증권(주),nan,NICE신용평가, ,한국신용평가,nan,nan,DBFUCB,KUKDONG/2.0 Bd 20241224 Sr Ungtd,nan,nan,9,,[[]],[[]],[[]],[[]]
38,532,(주)국동,KR60053219C2,B0053219C,일반사채 (116100),nan,상장,활성,2019-12-24,nan,국동 9,KUKDONG CORPORATION 9,회사채,nan,"20,000,000,000",2019-12-24,원화,2024-12-24,일반채권 -분리형BW,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,2.0,nan,100,111.0095,"분리형BW, 만기보장수익률 연4%(3개월 복리), 현금 및 대용납입",Put(풋),선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-03-24,비매출,nan,nan,무기명,4.0,2024-12-24,nan,nan,한국예탁결제원,(주)신한은행,유진투자증권(주),nan,NICE신용평가, ,한국신용평가,nan,nan,DBFUCB,KUKDONG/2.0 Bd 20241224 Sr Ungtd,nan,nan,9,,[[]],[[]],[[]],[[]]
32,528,(주)부산은행,KR60052819A4,B0052819A,일반은행채 (116210),nan,상장,활성,2019-10-17,nan,부산은행 2019-10이2A-16,BUSAN BANK 2019-10-COUP2A-16,회사채,nan,"100,000,000,000",2019-10-16,원화,2021-10-16,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.45,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자있음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-01-16,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)부산은행,DB금융투자(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,BUSAN BANK/1.45 Bd 20211016 Sr,nan,nan,2019-10이2A-16,9-10이2A-16,['DB금융투자'],"['100,000,000,000']",[],[]
33,528,(주)부산은행,KR60052819B2,B0052819B,일반은행채 (116210),nan,상장,활성,2019-11-05,nan,부산은행 2019-11이2.5A-04,BUSAN BANK 2019-11-COUP2.5A-04,회사채,nan,"100,000,000,000",2019-11-04,원화,2022-05-04,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.62,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자있음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-02-04,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)부산은행,교보증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,BUSAN BANK/1.62 Bd 20220504 Sr,nan,nan,2019-11이2.5A-04,9-11이2.5A-04,['교보증권'],"['100,000,000,000']",[],[]
34,528,(주)부산은행,KR60052829B1,B0052829B,일반은행채 (116210),nan,상장,활성,2019-11-25,nan,부산은행 2019-11이1.5A-22,BUSAN BANK 2019-11-COUP1.5A-22,회사채,nan,"100,000,000,000",2019-11-22,원화,2021-05-22,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.6,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자있음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-02-22,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)부산은행,교보증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,BUSAN BANK/1.6 Bd 20210522 Sr Ungtd,nan,nan,2019-11이1.5A-22,9-11이1.5A-22,['교보증권'],"['100,000,000,000']",[],[]
3,1,(주)신한은행,KR60000149A9,B0000149A,일반은행채 (116210),nan,상장,활성,2019-10-14,nan,신한은행 23-10-이-3-A,SHINHAN BANK 23-10COUP3A,회사채,nan,"200,000,000,000",2019-10-11,원화,2022-10-11,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.45,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자있음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-01-11,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)신한은행,한국투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,SHINHAN  BK/1.45 Bd 20221011 Sr,nan,nan,23-10-이-3-A,10-이-3-A,['한국투자증권'],"['200,000,000,000']",[],[]
5,1,(주)신한은행,KR60000159A8,B0000159A,일반은행채 (116210),nan,상장,활성,2019-10-24,nan,신한은행 23-10-복-20-A,SHINHAN BANK 23-10COMP20-A,회사채,nan,"50,000,000,000",2019-10-23,원화,2039-10-23,일반채권,무보증,nan,고정금리형-복리채,공모-간접발행,국내발행,NO,"
",확정,2.02,nan,100,100.0,"Y1~Y20 : [(1+2.02%)∧P-1] (P:콜행사시까지 경과연수), 30/360",Call(콜),선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,240.0,상환일,12.0,절사,일자기준,nan,nan,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)신한은행,삼성증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUGB,SHINHAN  BK/2.02 Bd 20391023 Sr,발행기관,발행1년부터 매년 동일자에 가능,23-10-복-20-A,10-복-20-A,['삼성증권'],"['50,000,000,000']",[],[]
1,1,(주)신한은행,KR60000129B9,B0000129B,일반은행채 (116210),nan,상장,활성,2019-11-12,nan,신한은행 23-11-이-1.5-A,SHINHAN BANK 23-11COUP1.5A,회사채,nan,"300,000,000,000",2019-11-11,원화,2021-05-11,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.62,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자있음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-02-11,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)신한은행,교보증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,SHINHAN  BK/1.62 Bd 20210511 Sr,nan,nan,23-11-이-1.5-A,11-이-1.5-A,['교보증권'],"['300,000,000,000']",[],[]
0,1,(주)신한은행,KR60000119B0,B0000119B,일반은행채 (116210),nan,상장,활성,2019-11-12,nan,신한은행 23-11-이-3-A,SHINHAN BANK 23-11COUP3A,회사채,nan,"300,000,000,000",2019-11-08,원화,2022-11-08,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.72,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자있음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-02-08,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)신한은행,한국투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,SHINHAN  BK/1.72 Bd 20221108 Sr,nan,nan,23-11-이-3-A,11-이-3-A,['한국투자증권'],"['300,000,000,000']",[],[]
2,1,(주)신한은행,KR60000139B8,B0000139B,일반은행채 (116210),nan,상장,활성,2019-11-13,nan,신한은행 23-11-이-2-A,SHINHAN BANK 23-11COUP2A,회사채,nan,"130,000,000,000",2019-11-12,원화,2021-11-12,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.65,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자있음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-02-12,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)신한은행,케이티비투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,SHINHAN  BK/1.65 Bd 20211112 Sr,nan,nan,23-11-이-2-A,11-이-2-A,['KTB투자증권'],"['130,000,000,000']",[],[]
4,1,(주)신한은행,KR60000149B7,B0000149B,일반은행채 (116210),nan,상장,활성,2019-11-15,nan,신한은행 23-11-이-2-B,SHINHAN BANK 23-11COUP2B,회사채,nan,"170,000,000,000",2019-11-14,원화,2021-11-14,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.65,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자있음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-02-14,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)신한은행,케이티비투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,SHINHAN  BK/1.65 Bd 20211114 Sr,nan,nan,23-11-이-2-B,11-이-2-B,['KTB투자증권'],"['170,000,000,000']",[],[]
6,1,(주)신한은행,KR60000159B6,B0000159B,일반은행채 (116210),nan,상장,활성,2019-11-15,nan,신한은행 23-11-이-3-B,SHINHAN BANK 23-11COUP3B,회사채,nan,"180,000,000,000",2019-11-14,원화,2022-11-14,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.73,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자있음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-02-14,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)신한은행,케이티비투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,SHINHAN  BK/1.73 Bd 20221114 Sr,nan,nan,23-11-이-3-B,11-이-3-B,['KTB투자증권'],"['170,000,000,000']",[],[]
7,1,(주)신한은행,KR60000169B5,B0000169B,일반은행채 (116210),nan,상장폐지,비활성,2019-11-25,2020-11-23,신한은행 23-11-할-1-A,SHINHAN BANK 23-11DIS1-A,회사채,nan,"350,000,000,000",2019-11-21,원화,2020-11-21,일반채권,무보증,nan,고정금리형-할인채,공모-간접발행,국내발행,NO,"
",확정,1.57,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자있음),nan,nan,직후영업일(경과이자없음),후급,nan,발행일,nan,절사,일자기준,nan,nan,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)신한은행,이베스트투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBZUFB,SHINHAN  BK/Disc Bd 20201121 Sr,nan,nan,23-11-할-1-A,11-할-1-A,['이베스트투자증권'],"['344,505,000,000']",[],[]
8,1,(주)신한은행,KR60000179B4,B0000179B,일반은행채 (116210),nan,상장,활성,2019-11-28,nan,신한은행 23-11-복-20-A,SHINHAN BANK 23-11COMP20-A,회사채,nan,"30,000,000,000",2019-11-27,원화,2039-11-27,일반채권,무보증,nan,고정금리형-복리채,공모-간접발행,국내발행,NO,"
",확정,2.17,nan,100,100.0,nan,Call(콜),선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,240.0,발행일,12.0,절사,일자기준,nan,nan,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,(주)신한은행,삼성증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUGB,SHINHAN  BK/2.17 Bd 20391127 Sr,발행기관,nan,23-11-복-20-A,11-복-20-A,['삼성증권'],"['30,000,000,000']",[],[]
66,1945,(주)아이비케이캐피탈,KR60194519A9,B0194519A,할부금융채권 (116250),nan,상장,활성,2019-10-24,nan,아이비케이캐피탈 201-1,IBK CAPITAL CORPORATION 201-1,회사채,nan,"40,000,000,000",2019-10-23,원화,2021-10-22,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.636,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,365일,2020-01-23,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,중소기업은행,엔에이치투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,IBK CAPITAL/1.636 Bd 20211022 Sr,nan,nan,201-1,-1,['NH투자증권'],"['20,000']","['아이비케이투자증권', '키움증권']","['10,000', '10,000']"
69,1945,(주)아이비케이캐피탈,KR60194529A8,B0194529A,할부금융채권 (116250),nan,상장,활성,2019-10-24,nan,아이비케이캐피탈 201-2,IBK CAPITAL CORPORATION 201-2,회사채,nan,"50,000,000,000",2019-10-23,원화,2022-10-21,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.723,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,365일,2020-01-23,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,중소기업은행,엔에이치투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,IBK CAPITAL/1.723 Bd 20221021 Sr,nan,nan,201-2,-2,"['교보증권', '부국증권', '케이아이디비채권중개', '한화투자증권']","['20,000', '10,000', '10,000', '10,000']",[],[]
72,1945,(주)아이비케이캐피탈,KR60194539A7,B0194539A,할부금융채권 (116250),nan,상장,활성,2019-10-24,nan,아이비케이캐피탈 201-3,IBK CAPITAL CORPORATION 201-3,회사채,nan,"20,000,000,000",2019-10-23,원화,2024-10-23,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.887,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-01-23,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,중소기업은행,엔에이치투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,IBK CAPITAL/1.887 Bd 20241023 Sr,nan,nan,201-3,-3,"['교보증권', 'SK증권']","['10,000', '10,000']",[],[]
75,1945,(주)아이비케이캐피탈,KR60194549A6,B0194549A,할부금융채권 (116250),nan,상장,활성,2019-11-01,nan,아이비케이캐피탈 202-1,IBK CAPITAL CORPORATION 202-1,회사채,nan,"20,000,000,000",2019-10-31,원화,2021-02-26,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.66,nan,100,100.0,#마지막 이자 일할계산,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,365일,2020-01-31,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,중소기업은행,한국투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,IBK CAPITAL/1.66 Bd 20210226 Sr,nan,nan,202-1,-1,"['DB금융투자', '하나금융투자']","['10,000', '10,000']",[],[]
78,1945,(주)아이비케이캐피탈,KR60194559A5,B0194559A,할부금융채권 (116250),nan,상장,활성,2019-11-01,nan,아이비케이캐피탈 202-2,IBK CAPITAL CORPORATION 202-2,회사채,nan,"30,000,000,000",2019-10-31,원화,2022-08-31,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.769,nan,100,100.0,#마지막 이자 일할계산,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,365일,2020-01-31,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,중소기업은행,한국투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,IBK CAPITAL/1.769 Bd 20220831 Sr,nan,nan,202-2,-2,['한국투자증권'],"['10,000']","['한양증권', '유안타증권']","['10,000', '10,000']"
81,1945,(주)아이비케이캐피탈,KR60194569A4,B0194569A,할부금융채권 (116250),nan,상장,활성,2019-11-01,nan,아이비케이캐피탈 202-3,IBK CAPITAL CORPORATION 202-3,회사채,nan,"10,000,000,000",2019-10-31,원화,2024-10-31,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.968,nan,100,100.0,nan,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,nan,2020-01-31,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,중소기업은행,한국투자증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,IBK CAPITAL/1.968 Bd 20241031 Sr,nan,nan,202-3,-3,['하나금융투자'],"['10,000']",[],[]
67,1945,(주)아이비케이캐피탈,KR60194519B7,B0194519B,할부금융채권 (116250),nan,상장폐지,비활성,2019-11-11,2021-01-11,아이비케이캐피탈 203-1,IBK CAPITAL CORPORATION 203-1,회사채,nan,"30,000,000,000",2019-11-08,원화,2021-01-08,일반채권,무보증,nan,고정금리형-이표채,공모-간접발행,국내발행,NO,"
",확정,1.665,nan,100,100.0,마지막 이자만 일할계산,nan,선순위,만기상환,NO,nan,NO,nan,nan,직후영업일(경과이자없음),nan,nan,직후영업일(경과이자없음),후급,3.0,발행일,3.0,절사,일자기준,365일,2020-02-08,비매출,nan,nan,무기명,nan,nan,nan,nan,한국예탁결제원,중소기업은행,KB증권(주),nan,NICE신용평가, ,한국신용평가,한국기업평가,nan,DBFUFB,IBK CAPITAL/1.665 Bd 20210108 Sr,nan,nan,203-1,-1,"['흥국증권', '코리아에셋투자증권']","['20,000', '10,000']",[],[]
