index,발행기관코드,발행기관명,표준코드,단축코드,채권분류,변경전 발행기관코드,상장여부,활성여부,상장일,상장폐지일,한글종목명,영문종목명,채권유형,지방채구분,발행금액,발행일,발행통화,상환일,특이채권유형,보증담보,보증률(%),이자지급방법,발행방법,발행구분,크라우드펀딩여부,표면이자율 확정여부,표면이자율(%),낙찰금리(%),발행가액(%),만기상환율(%),특이발행조건,옵션,선/후/중순위,상환방법,물가연동구분,참조지수(%),신종자본증권여부,조건부자본증권 유형,유동화,휴무관련(원금),이자지급기준,경과금리(%),휴무관련(이자),이자 선/후급,이자지급주기(개월),이자지급기준일구분,이자계산주기(개월),이자원단위 미만처리,이자월말구분,단수일이자기준,최초이자지급일,매출형태,선매출이자 지급방법,선/후매출일,기명구분,보장수익률(%),보장수익률적용일,추가수익률(%),추가수익률적용일,(전자)등록기관,원리금지급대행기관,대표주관회사,보증기관,신용평가기관1,신용등급,신용평가기관2,신용평가기관3,신용평가기관4,CFI,FISN,Call 주체,Call 사유,identifier1,identifier2,bookrunners,bkr_parts,comanagers,cmgr_parts
33,1095,S-Oil(주),KR6010953A82,B010953A8,일반사채 (116100),,상장,활성,2020-08-28,,S-Oil 57-3,SOIL CORPORATION 57-3,회사채,,"40,000,000,000",2020-08-28,원화,2030-08-28,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.817,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-11-28,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,S-Oil/ Bd 20300828 Sr Ungtd,,,57-3,3,"['미래에셋대우', 'NH투자증권', '신한금융투자']","['10,000,000,000', '20,000,000,000', '10,000,000,000']",[],[]
39,1179,SKC(주),KR6011791A52,B011791A5,일반사채 (116100),,상장,활성,2020-05-28,,SKC 142-1,SKC 142-1,회사채,,"105,000,000,000",2020-05-28,원화,2022-05-28,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.323,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-28,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFUFB,SKC/ Bd 20220528 Sr Ungtd,,,142-1,-1,"['삼성증권', 'NH투자증권', 'SK증권', '신영증권', '현대차증권']","['40,000,000,000', '30,000,000,000', '15,000,000,000', '10,000,000,000', '10,000,000,000']",[],[]
40,1179,SKC(주),KR6011792A51,B011792A5,일반사채 (116100),,상장,활성,2020-05-28,,SKC 142-2,SKC 142-2,회사채,,"95,000,000,000",2020-05-28,원화,2025-05-28,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.5660000000000003,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-28,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFUFB,SKC/ Bd 20250528 Sr Ungtd,,,142-2,-2,"['NH투자증권', 'SK증권', '하이투자증권', '키움증권']","['30,000,000,000', '45,000,000,000', '10,000,000,000', '10,000,000,000']",[],[]
47,1867,SK가스(주),KR6018671A60,B018671A6,일반사채 (116100),,상장,활성,2020-06-19,,SK가스 37-1,SK GAS 37-1,회사채,,"100,000,000,000",2020-06-19,원화,2023-06-19,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.455,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-09-19,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFUFB,SK GAS/ Bd 20230619 Sr Ungtd,,,37-1,1,"['NH투자증권', 'SK증권']","['25,000,000,000', '30,000,000,000']","['대신증권', '신한금융투자', '한화투자증권', '하이투자증권']","['20,000,000,000', '10,000,000,000', '10,000,000,000', '5,000,000,000']"
48,1867,SK가스(주),KR6018672A69,B018672A6,일반사채 (116100),,상장,활성,2020-06-19,,SK가스 37-2,SK GAS 37-2,회사채,,"60,000,000,000",2020-06-19,원화,2025-06-19,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.7,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-09-19,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFUFB,SK GAS/ Bd 20250619 Sr Ungtd,,,37-2,2,"['NH투자증권', 'SK증권']","['25,000,000,000', '20,000,000,000']","['하이투자증권', '키움증권']","['5,000,000,000', '10,000,000,000']"
49,1867,SK가스(주),KR6018673A68,B018673A6,일반사채 (116100),,상장,활성,2020-06-19,,SK가스 37-3,SK GAS 37-3,회사채,,"90,000,000,000",2020-06-19,원화,2027-06-19,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.956,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-09-19,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFUFB,SK GAS/ Bd 20270619 Sr Ungtd,,,37-3,3,"['NH투자증권', 'SK증권']","['40,000,000,000', '50,000,000,000']",[],[]
37,1117,롯데케미칼(주),KR6011171A78,B011171A7,일반사채 (116100),,상장,활성,2020-07-28,,롯데케미칼 56-1,LOTTE CHEMICAL 56-1,회사채,,"200,000,000,000",2020-07-28,원화,2023-07-28,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.35,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-10-28,비매출,,,무기명,,,,,한국예탁결제원,(주)한국스탠다드차타드은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,,,DBFUFB,LOTTE CHEMICAL/ Bd 20230728 Sr,,,56-1,1,"['KB증권', 'NH투자증권', '한국투자증권', '미래에셋대우', '삼성증권', '현대차증권', '대신증권', '유안타증권', 'SK증권', '신한금융투자']","['30,000,000,000', '30,000,000,000', '30,000,000,000', '40,000,000,000', '20,000,000,000', '10,000,000,000', '10,000,000,000', '10,000,000,000', '10,000,000,000', '10,000,000,000']",[],[]
38,1117,롯데케미칼(주),KR6011172A77,B011172A7,일반사채 (116100),,상장,활성,2020-07-28,,롯데케미칼 56-2,LOTTE CHEMICAL 56-2,회사채,,"100,000,000,000",2020-07-28,원화,2025-07-28,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.535,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-10-28,비매출,,,무기명,,,,,한국예탁결제원,(주)한국스탠다드차타드은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,,,DBFUFB,LOTTE CHEMICAL/ Bd 20250728 Sr,,,56-2,2,"['KB증권', 'NH투자증권', '한국투자증권', '미래에셋대우', '키움증권', '하나금융투자']","['20,000,000,000', '20,000,000,000', '20,000,000,000', '10,000,000,000', '20,000,000,000', '10,000,000,000']",[],[]
20,856,메리츠증권(주),KR6008561A49,B008561A4,일반사채 (116100),,상장,활성,2020-04-27,,메리츠증권 2004-1,MERITZ SECURITIES 2004-1,회사채,,"200,000,000,000",2020-04-27,원화,2021-04-27,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.85,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-27,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,KB증권(주),,NICE신용평가, ,한국신용평가,,,DBFNFB,MERITZ SECU/2.85 Bd 20210427 Sr,,,2004-1,4-1,[[]],[[]],[[]],[[]]
21,856,메리츠증권(주),KR6008561A56,B008561A5,일반사채 (116100),,상장,활성,2020-05-25,,메리츠증권 2005-1,MERITZ SECURITIES 2005-1,회사채,,"300,000,000,000",2020-05-22,원화,2022-05-20,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,3.05,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-22,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,KB증권(주),,NICE신용평가, ,한국신용평가,,,DBFNFB,MERITZ SECU/3.05 Bd 20220520 Sr,,,2005-1,5-1,['KB증권'],"['150,000,000,000']",['하나금융투자'],"['150,000,000,000']"
22,856,메리츠증권(주),KR6008561A64,B008561A6,일반사채 (116100),,상장,활성,2020-06-29,,메리츠증권 2006-1,MERITZ SECURITIES 2006-1,회사채,,"40,000,000,000",2020-06-26,원화,2022-01-26,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.7,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-09-26,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,KB증권(주),,NICE신용평가, ,한국신용평가,,,DBFNFB,MERITZ SECU/1.70 Bd 20220126 Sr,,,2006-1,6-1,['KB증권'],"['40,000,000,000']",[],[]
23,856,메리츠증권(주),KR6008561A98,B008561A9,일반사채 (116100),,상장,활성,2020-09-17,,메리츠증권 2009-1,MERITZ SECURITIES 2009-1,회사채,,"160,000,000,000",2020-09-16,원화,2022-03-16,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.655,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-12-16,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,KB증권(주),,NICE신용평가, ,한국신용평가,,,DBFNFB,MERITZ SECU/1.655 Bd 20220316 Sr,,,2009-1,9-1,"['KB증권', '한양증권']","['80,000,000,000', '80,000,000,000']",[],[]
0,827,산은캐피탈(주),KR6008272A49,B008272A4,리스채권 (116230),,상장,활성,2020-04-29,,산은캐피탈 643-2,KDB CAPITAL CORPORATION 643-2,회사채,,"10,000,000,000",2020-04-28,원화,2021-07-28,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.7919999999999998,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-28,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,한양증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.792 Bd 20210728 Sr,,,643-2,-2,['한양증권'],"['10,000,000,000']","['이베스트투자증권', '케이티비투자증권']","['50,000,000,000', '100,000,000,0000']"
1,827,산은캐피탈(주),KR6008272A56,B008272A5,리스채권 (116230),,상장,활성,2020-05-11,,산은캐피탈 644-2,KDB CAPITAL CORPORATION 644-2,회사채,,"10,000,000,000",2020-05-08,원화,2021-11-05,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.76,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-08,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.760 Bd 20211105 Sr,,,644-2,-2,['한양증권'],"['10,000,000,000']",[],[]
5,827,산은캐피탈(주),KR6008273A55,B008273A5,리스채권 (116230),,상장,활성,2020-05-11,,산은캐피탈 644-3,KDB CAPITAL CORPORATION 644-3,회사채,,"50,000,000,000",2020-05-08,원화,2021-11-08,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.76,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-08,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.760 Bd 20211108 Sr,,,644-3,-3,['미래에셋대우'],"['10,000,000,000']",[],[]
8,827,산은캐피탈(주),KR6008274A54,B008274A5,리스채권 (116230),,상장,활성,2020-05-11,,산은캐피탈 644-4,KDB CAPITAL CORPORATION 644-4,회사채,,"20,000,000,000",2020-05-08,원화,2022-01-07,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.765,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-08,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.765 Bd 20220107 Sr,,,644-4,-4,"['한양증권', '삼성증권', '이베스트투자증권']","['20,000,000,000', '10,000,000,000', '20,000,000,000']",[],[]
11,827,산은캐피탈(주),KR6008275A53,B008275A5,리스채권 (116230),,상장,활성,2020-05-11,,산은캐피탈 644-5,KDB CAPITAL CORPORATION 644-5,회사채,,"10,000,000,000",2020-05-08,원화,2022-05-06,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.775,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-08,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.775 Bd 20220506 Sr,,,644-5,-5,['디에스투자증권'],"['20,000,000,000']",[],[]
13,827,산은캐피탈(주),KR6008276A52,B008276A5,리스채권 (116230),,상장,활성,2020-05-13,,산은캐피탈 645-1,KDB CAPITAL CORPORATION 645-1,회사채,,"10,000,000,000",2020-05-12,원화,2021-11-12,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.724,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-12,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,SK증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.724 Bd 20211112 Sr,,,645-1,-1,['이베스트투자증권'],"['10,000,000,000']",[],[]
15,827,산은캐피탈(주),KR6008277A51,B008277A5,리스채권 (116230),,상장,활성,2020-05-13,,산은캐피탈 645-2,KDB CAPITAL CORPORATION 645-2,회사채,,"10,000,000,000",2020-05-12,원화,2022-04-12,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.7369999999999999,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-12,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,SK증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.737 Bd 20220412 Sr,,,645-2,-2,['케이프투자증권'],"['10,000,000,000']",[],[]
16,827,산은캐피탈(주),KR6008278A50,B008278A5,리스채권 (116230),,상장,활성,2020-05-13,,산은캐피탈 645-3,KDB CAPITAL CORPORATION 645-3,회사채,,"30,000,000,000",2020-05-12,원화,2022-05-12,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.74,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-12,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,SK증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.740 Bd 20220512 Sr,,,645-3,-3,['SK증권'],"['10,000,000,000']",['이베스트투자증권'],"['20,000,000,000']"
17,827,산은캐피탈(주),KR6008279A59,B008279A5,리스채권 (116230),,상장,활성,2020-05-25,,산은캐피탈 646-1,KDB CAPITAL CORPORATION 646-1,회사채,,"30,000,000,000",2020-05-22,원화,2021-11-22,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.6159999999999999,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-22,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.616 Bd 20211122 Sr,,,646-1,-1,['미래에셋대우'],"['30,000,000,000']",[],[]
18,827,산은캐피탈(주),KR600827AA58,B00827AA5,리스채권 (116230),,상장,활성,2020-05-25,,산은캐피탈 646-2,KDB CAPITAL CORPORATION 646-2,회사채,,"10,000,000,000",2020-05-22,원화,2022-12-22,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.685,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-22,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.685 Bd 20221222 Sr,,,646-2,-2,['흥국증권'],"['10,000,000,000']",[],[]
19,827,산은캐피탈(주),KR600827BA57,B00827BA5,리스채권 (116230),,상장,활성,2020-05-25,,산은캐피탈 646-3,KDB CAPITAL CORPORATION 646-3,회사채,,"10,000,000,000",2020-05-22,원화,2025-05-22,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.804,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-22,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.804 Bd 20250522 Sr,,,646-3,-3,['이베스트투자증권'],"['10,000,000,000']",[],[]
2,827,산은캐피탈(주),KR6008272A64,B008272A6,리스채권 (116230),,상장,활성,2020-06-10,,산은캐피탈 647-2,KDB CAPITAL CORPORATION 647-2,회사채,,"80,000,000,000",2020-06-09,원화,2023-06-09,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.651,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-09-09,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.651 Bd 20230609 Sr,,,647-2,-2,['NH투자증권'],"['10,000,000,000']",[],[]
6,827,산은캐피탈(주),KR6008273A63,B008273A6,리스채권 (116230),,상장,활성,2020-06-10,,산은캐피탈 647-3,KDB CAPITAL CORPORATION 647-3,회사채,,"10,000,000,000",2020-06-09,원화,2023-08-09,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.671,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-09-09,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.671 Bd 20230809 Sr,,,647-3,-3,['NH투자증권'],"['10,000,000,000']","['하이투자증권', '케이아이디비채권중개', '한국투자증권', '미래에셋대우', '흥국증권', '한화투자증권']","['20,000,000,000', '10,000,000,000', '10,000,000,000', '10,000,000,000', '10,000,000,000', '10,000,000,000']"
