index,발행기관코드,발행기관명,표준코드,단축코드,채권분류,변경전 발행기관코드,상장여부,활성여부,상장일,상장폐지일,한글종목명,영문종목명,채권유형,지방채구분,발행금액,발행일,발행통화,상환일,특이채권유형,보증담보,보증률(%),이자지급방법,발행방법,발행구분,크라우드펀딩여부,표면이자율 확정여부,표면이자율(%),낙찰금리(%),발행가액(%),만기상환율(%),특이발행조건,옵션,선/후/중순위,상환방법,물가연동구분,참조지수(%),신종자본증권여부,조건부자본증권 유형,유동화,휴무관련(원금),이자지급기준,경과금리(%),휴무관련(이자),이자 선/후급,이자지급주기(개월),이자지급기준일구분,이자계산주기(개월),이자원단위 미만처리,이자월말구분,단수일이자기준,최초이자지급일,매출형태,선매출이자 지급방법,선/후매출일,기명구분,보장수익률(%),보장수익률적용일,추가수익률(%),추가수익률적용일,(전자)등록기관,원리금지급대행기관,대표주관회사,보증기관,신용평가기관1,신용등급,신용평가기관2,신용평가기관3,신용평가기관4,CFI,FISN,Call 주체,Call 사유,identifier1,identifier2,bookrunners,bkr_parts,comanagers,cmgr_parts
9,827,산은캐피탈(주),KR6008274A62,B008274A6,리스채권 (116230),,상장,활성,2020-06-10,,산은캐피탈 647-4,KDB CAPITAL CORPORATION 647-4,회사채,,"10,000,000,000",2020-06-09,원화,2024-06-07,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.714,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-09-09,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.714 Bd 20240607 Sr,,,647-4,-4,['한국투자증권'],"['10,000,000,000']",[],[]
12,827,산은캐피탈(주),KR6008275A61,B008275A6,리스채권 (116230),,상장,활성,2020-06-29,,산은캐피탈 648-1,KDB CAPITAL CORPORATION 648-1,회사채,,"20,000,000,000",2020-06-26,원화,2022-12-26,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.544,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-09-26,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,KB증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.544 Bd 20221226 Sr,,,648-1,-1,['디에스투자증권'],"['20,000,000,000']",[],[]
14,827,산은캐피탈(주),KR6008276A60,B008276A6,리스채권 (116230),,상장,활성,2020-06-29,,산은캐피탈 648-2,KDB CAPITAL CORPORATION 648-2,회사채,,"10,000,000,000",2020-06-26,원화,2023-03-24,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.556,,100,100,마지막 이자만 일할계산,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-09-26,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,KB증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.556 Bd 20230324 Sr,,,648-2,-2,['KB증권'],"['10,000,000,000']",[],[]
3,827,산은캐피탈(주),KR6008272A72,B008272A7,리스채권 (116230),,상장,활성,2020-07-10,,산은캐피탈 649-2,KDB CAPITAL CORPORATION 649-2,회사채,,"30,000,000,000",2020-07-09,원화,2023-07-07,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.609,,100,100,마지막이자 365 일할계산,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-10-09,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,KB증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.609 Bd 20230707 Sr,,,649-2,-2,['KB증권'],"['10,000,000,000']","['SK증권', '한양증권', '케이프투자증권']","['10,000,000,000', '10,000,000,000', '10,000,000,000']"
7,827,산은캐피탈(주),KR6008273A71,B008273A7,리스채권 (116230),,상장,활성,2020-07-27,,산은캐피탈 650-1,KDB CAPITAL CORPORATION 650-1,회사채,,"30,000,000,000",2020-07-24,원화,2023-07-24,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.579,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-10-24,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,KB증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.579 Bd 20230724 Sr,,,650-1,-1,['KB증권'],"['10,000,000,000']","['케이아이디비채권중개', '하이투자증권']","['10,000,000,000', '10,000,000,000']"
10,827,산은캐피탈(주),KR6008274A70,B008274A7,리스채권 (116230),,상장,활성,2020-07-27,,산은캐피탈 650-2,KDB CAPITAL CORPORATION 650-2,회사채,,"10,000,000,000",2020-07-24,원화,2024-07-24,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.619,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-10-24,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,KB증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.619 Bd 20240724 Sr,,,650-2,-2,['흥국증권'],"['10,000,000,000']",[],[]
4,827,산은캐피탈(주),KR6008272A80,B008272A8,리스채권 (116230),,상장,활성,2020-08-12,,산은캐피탈 651-2,KDB CAPITAL CORPORATION 651-2,회사채,,"50,000,000,000",2020-08-11,원화,2023-08-11,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.515,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-11-11,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.515 Bd 20230811 Sr,,,651-2,-2,"['한양증권', '현대차증권', '이베스트투자증권']","['10,000,000,000', '10,000,000,000', '10,000,000,000']",[],[]
42,1636,삼성증권(주),KR6016361A93,B016361A9,일반사채 (116100),,상장,활성,2020-09-17,,삼성증권 14-1,SAMSUNG SECURITIES 14-1,회사채,,"230,000,000,000",2020-09-17,원화,2023-09-15,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.465,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-12-17,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,SK증권(주),,, ,한국신용평가,한국기업평가,,DBFNFB,SAMSUNG SECU/ Bd 20230915 Sr Ungtd,,,14-1,1,"['미래에셋대우', 'SK증권']","['70,000,000,000', '70,000,000,000']","['현대차증권', '한화투자증권']","['50,000,000,000', '40,000,000,000']"
43,1636,삼성증권(주),KR6016362A92,B016362A9,일반사채 (116100),,상장,활성,2020-09-17,,삼성증권 14-2,SAMSUNG SECURITIES 14-2,회사채,,"70,000,000,000",2020-09-17,원화,2025-09-17,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.6580000000000001,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-12-17,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,SK증권(주),,, ,한국신용평가,한국기업평가,,DBFNFB,SAMSUNG SECU/ Bd 20250917 Sr Ungtd,,,14-2,2,"['미래에셋대우', 'SK증권']","['30,000,000,000', '20,000,000,000']",['현대차증권'],"['20,000,000,000']"
44,1636,삼성증권(주),KR6016363A91,B016363A9,일반사채 (116100),,상장,활성,2020-09-17,,삼성증권 14-3,SAMSUNG SECURITIES 14-3,회사채,,"30,000,000,000",2020-09-17,원화,2027-09-17,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.9380000000000002,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-12-17,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,SK증권(주),,, ,한국신용평가,한국기업평가,,DBFNFB,SAMSUNG SECU/ Bd 20270917 Sr Ungtd,,,14-3,3,"['미래에셋대우', 'SK증권']","['10,000,000,000', '20,000,000,000']",[],[]
30,1012,엘에스일렉트릭 주식회사,KR6010121A55,B010121A5,일반사채 (116100),,상장,활성,2020-05-11,,LS ELECTRIC 182,LS ELECTRIC 182,회사채,,"150,000,000,000",2020-05-11,원화,2023-05-11,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.705,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-11,비매출,,,무기명,,,,,한국예탁결제원,농협은행(주),KB증권(주),,, ,한국신용평가,한국기업평가,,DBFUFB,LS ELECTRIC/ Bd 20230511 Sr Ungtd,,,182,,[[]],[[]],[[]],[[]]
34,1107,엘지이노텍(주),KR6011071A87,B011071A8,일반사채 (116100),,상장,활성,2020-08-26,,LG이노텍 43-1,LG INNOTEK 43-1,회사채,,"70,000,000,000",2020-08-26,원화,2023-08-26,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.325,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-11-26,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFUFB,LG INNOTEK/ Bd 20230826 Sr Ungtd,,,43-1,1,"['한국투자증권', '케이비증권', '신한금융투자', '미래에셋대우']","['10,000,000,000', '35,000,000,000', '10,000,000,000', '15,000,000,000']",[],[]
35,1107,엘지이노텍(주),KR6011072A86,B011072A8,일반사채 (116100),,상장,활성,2020-08-26,,LG이노텍 43-2,LG INNOTEK 43-2,회사채,,"60,000,000,000",2020-08-26,원화,2025-08-26,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.588,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-11-26,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFUFB,LG INNOTEK/ Bd 20250826 Sr Ungtd,,,43-2,2,"['엔에이치투자증권', '신한금융투자']","['30,000,000,000', '30,000,000,000']",[],[]
36,1107,엘지이노텍(주),KR6011073A85,B011073A8,일반사채 (116100),,상장,활성,2020-08-26,,LG이노텍 43-3,LG INNOTEK 43-3,회사채,,"70,000,000,000",2020-08-26,원화,2030-08-26,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.33,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-11-26,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFUFB,LG INNOTEK/ Bd 20300826 Sr Ungtd,,,43-3,3,"['한국투자증권', '엔에이치투자증권', '미래에셋대우']","['40,000,000,000', '20,000,000,000', '10,000,000,000']",[],[]
94,1980,하나캐피탈(주),KR6019801A46,B019801A4,할부금융채권 (116250),,상장,활성,2020-04-17,,하나캐피탈 303-1,HANA CAPITAL 303-1,회사채,,"50,000,000,000",2020-04-16,원화,2021-04-16,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.7830000000000001,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-07-16,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,SK증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,HANA CAPITAL/1.783 Bd 20210416 Sr,,,303-1,-1,['SK증권'],"['20,000,000,000']","['한국산업은행', '이베스트투자증권']","['20,000,000,000', '10,000,000,000']"
95,1980,하나캐피탈(주),KR6019801A53,B019801A5,할부금융채권 (116250),,상장,활성,2020-05-13,,하나캐피탈 305-1,HANA CAPITAL 305-1,회사채,,"30,000,000,000",2020-05-12,원화,2021-08-12,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.6880000000000002,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-12,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,KB증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,HANA CAPITAL/1.688 Bd 20210812 Sr,,,305-1,-1,['KB증권'],"['10,000,000,000']","['한양증권', 'KTB투자증권']","['10,000,000,000', '10,000,000,000']"
96,1980,하나캐피탈(주),KR6019801A61,B019801A6,할부금융채권 (116250),,상장,활성,2020-06-08,,하나캐피탈 307-1,HANA CAPITAL 307-1,회사채,,"20,000,000,000",2020-06-05,원화,2021-12-03,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.328,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-09-05,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,HANA CAPITAL/1.328 Bd 20211203 Sr,,,307-1,-1,['SK증권'],"['20,000,000,000']",[],[]
97,1980,하나캐피탈(주),KR6019801A79,B019801A7,할부금융채권 (116250),,상장,활성,2020-07-13,,하나캐피탈 309-1,HANA CAPITAL 309-1,회사채,,"20,000,000,000",2020-07-10,원화,2022-01-10,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.349,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-10-10,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,한국투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,HANA CAPITAL/1.349 Bd 20220110 Sr,,,309-1,-1,['한국투자증권'],"['20,000,000,000']",[],[]
98,1980,하나캐피탈(주),KR6019801A87,B019801A8,할부금융채권 (116250),,상장,활성,2020-08-12,,하나캐피탈 311-1,HANA CAPITAL 311-1,회사채,,"20,000,000,000",2020-08-11,원화,2022-11-11,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.344,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-11-11,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,KB증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,HANA CAPITAL/1.344 Bd 20221111 Sr,,,311-1,-1,"['한국투자증권', 'SK증권']","['10,000,000,000', '10,000,000,000']",[],[]
99,1980,하나캐피탈(주),KR6019801A95,B019801A9,할부금융채권 (116250),,상장,활성,2020-09-11,,하나캐피탈 313-1,HANA CAPITAL 313-1,회사채,,"40,000,000,000",2020-09-10,원화,2022-09-09,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.469,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-12-10,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,HANA CAPITAL/1.469 Bd 20220909 Sr,,,313-1,-1,['NH투자증권'],"['10,000,000,000']","['부국증권', '케이알투자증권', '신영증권']","['10,000,000,000', '10,000,000,000', '10,000,000,000']"
50,1888,한온시스템(주),KR6018881A90,B018881A9,일반사채 (116100),,상장,활성,2020-09-09,,한온시스템 11-1,Hanon Systems 11-1,회사채,,"140,000,000,000",2020-09-09,원화,2023-09-09,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.65,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-12-09,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,엔에이치투자증권(주),,, ,한국신용평가,한국기업평가,,DBFUFB,Hanon Systems/ Bd 20230909 Sr Ungtd,,,11-1,1,['NH투자증권'],"['140,000,000,000']",[],[]
51,1888,한온시스템(주),KR6018882A99,B018882A9,일반사채 (116100),,상장,활성,2020-09-09,,한온시스템 11-2,Hanon Systems 11-2,회사채,,"80,000,000,000",2020-09-09,원화,2025-09-09,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.046,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-12-09,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,엔에이치투자증권(주),,, ,한국신용평가,한국기업평가,,DBFUFB,Hanon Systems/ Bd 20250909 Sr Ungtd,,,11-2,2,['NH투자증권'],"['80,000,000,000']",[],[]
52,1888,한온시스템(주),KR6018883A98,B018883A9,일반사채 (116100),,상장,활성,2020-09-09,,한온시스템 11-3,Hanon Systems 11-3,회사채,,"80,000,000,000",2020-09-09,원화,2027-09-09,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.582,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-12-09,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,엔에이치투자증권(주),,, ,한국신용평가,한국기업평가,,DBFUFB,Hanon Systems/ Bd 20270909 Sr Ungtd,,,11-3,3,['NH투자증권'],"['80,000,000,000']",[],[]
28,983,한화솔루션(주),KR6009831A41,B009831A4,일반사채 (116100),,상장,활성,2020-04-21,,한화솔루션 270,HanwhaSolutions 270,회사채,,"210,000,000,000",2020-04-21,원화,2023-04-21,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.379,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-21,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,한국투자증권(주),,NICE신용평가, ,,한국기업평가,,DBFUFB,HANWHA/ Bd 20230421 Sr Ungtd,,,270,,"['NH투자증권', '한국투자증권', '케이비증권', '미래에셋대우', '신한금융투자', '키움증권', '유진증권', '한양증권', '한화투자증권']","['40,000,000,000', '40,000,000,000', '40,000,000,000', '20,000,000,000', '20,000,000,000', '20,000,000,000', '10,000,000,000', '10,000,000,000', '10,000,000,000']",[],[]
41,1245,한화에어로스페이스(주),KR6012451A44,B012451A4,일반사채 (116100),,상장,활성,2020-04-28,,한화에어로스페이스 124,HANWHA AEROSPACE 124,회사채,,"150,000,000,000",2020-04-28,원화,2023-04-28,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.371,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-28,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,한국투자증권(주),,NICE신용평가, ,,한국기업평가,,DBFUFB,HANWHA/ Bd 20230428 Sr Ungtd,,,124,,"['한국투자증권', '신한금융투자', 'KB증권']","['35,000,000,000', '35,000,000,000', '35,000,000,000']","['한화투자증권', '유안타증권']","['30,000,000,000', '15,000,000,000']"
45,1780,현대엘리베이터(주),KR6017801A65,B017801A6,일반사채 (116100),,상장,활성,2020-06-04,,현대엘리베이터 38,HYUNDAI ELEVATOR 38,회사채,,"100,000,000,000",2020-06-04,원화,2023-06-04,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.545,,100,100,개별민평(3Y)+67bp,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-09-04,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,한국투자증권(주),,NICE신용평가, ,,한국기업평가,,DBFUFB,HYUNDAI ELEV/ Bd 20230604 Sr Ungtd,,,38,,"['한국투자증권', '미래에셋대우', 'KB증권']","['24,000,000,000', '24,000,000,000', '12,000,000,000']",['한국산업은행'],"['40,000,000,000']"
