ISIN,deal_num,post_notes
KR6000011A67,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6000011A83,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6000151A91,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6000271A47,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""],""deal.Tranches[2].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6000401A57,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6000541A74,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""],""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6001791A53,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR6003341A62,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""],""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR6003671A62,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6004991A97,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""],""deal.Tranches[2].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6007071A93,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6008271A99,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"